Posted Date,Reference Number,Payee,Address,Amount
04/05/2023,24445003095000850474399,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-5.09
04/05/2023,24943003095898002019823,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-234.04
04/05/2023,24445003094100267923086,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-146.73
04/04/2023,24445003093300524049250,"KING SOOPERS #0709 FUEL ENGLEWOOD CO","ENGLEWOOD     CO ",-49.48
04/03/2023,24445003092300537521734,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-43.02
04/03/2023,24037243092900016284112,"VIEWHOUSE LITTLETON LITTLETON CO","LITTLETON     CO ",-34.64
04/03/2023,24445003091300512375164,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-62.92
04/01/2023,24692163091103226055730,"SQ *JAKES BREW BAR Littleton CO","Littleton     CO ",-34.99
04/01/2023,24000973090635101251694,"THE UPS STORE 1813 303-2631348 CO","303-2631348   CO ",-9.71
03/31/2023,09073400000847000126283,"BA ELECTRONIC PAYMENT","",890.41
03/31/2023,24943003090898002313494,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-2.17
03/31/2023,24943003090898002313502,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-0.75
03/30/2023,24445003089000824131701,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-5.70
03/29/2023,24445003087100247152771,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-174.01
03/28/2023,24755423086170865760119,"FAMILY CENTERED MEDICINE DENVER CO","DENVER        CO ",-25.00
03/27/2023,24943003086898002060513,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-119.55
03/27/2023,24164073085091017681954,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-85.32
03/25/2023,24022443083900019800546,"WE KNEAD DONUT GREENWOOD VILCO","GREENWOOD VIL CO ",-6.65
03/23/2023,24137463082001556958770,"WHOLEFDS SGN 10273 CENTENNIAL CO","CENTENNIAL    CO ",-16.75
03/22/2023,24445003080100245039886,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-143.72
03/21/2023,24137463080001371880821,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-59.40
03/21/2023,24445003080000821055456,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-5.18
03/21/2023,24941663080838007914859,"STINKER #331 CENTENNIAL CO","CENTENNIAL    CO ",-44.03
03/21/2023,24941663080838007914867,"STINKER #331 CENTENNIAL CO","CENTENNIAL    CO ",-4.36
03/20/2023,24943003078898120475270,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-54.54
03/17/2023,24943003076898002030906,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-110.52
03/16/2023,24445003075000831909830,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-13.50
03/15/2023,24445003073100231185239,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-126.95
03/14/2023,24445003073000810012657,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-2.08
03/14/2023,24445003072300488374103,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-26.23
03/14/2023,24427333072710004454267,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-37.23
03/13/2023,07273400000847000080979,"BA ELECTRONIC PAYMENT","",1034.08
03/13/2023,24941663070838000223268,"EINSTEIN BROS BAGELS3598 ENGLEWOOD CO","ENGLEWOOD     CO ",-19.98
03/13/2023,24445003070100289078966,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-52.57
03/11/2023,24445003069300513542042,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-22.67
03/10/2023,24943003068838000550836,"TACO BELL 005716 LITTLETON CO","LITTLETON     CO ",-14.99
03/09/2023,24445003068000828480455,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-2.08
03/08/2023,24427333066710014050368,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-22.46
03/08/2023,24164073066091017410100,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-26.17
03/08/2023,24445003066100228025645,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-188.11
03/07/2023,24445003066000799610587,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-6.63
03/07/2023,24943003066898002015560,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-121.00
