Posted Date,Reference Number,Payee,Address,Amount
08/05/2023,                       ,"INTEREST CHARGED ON PURCHASES","",-4.37
08/05/2023,24943003217898002031995,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-146.12
08/05/2023,24943003217898002311223,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-3.25
08/05/2023,24427333216710036056582,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-1.08
08/05/2023,24427333216710036056574,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-7.08
08/05/2023,24231683216837001057552,"SAFEWAY #0008 CENTENNIAL CO","CENTENNIAL    CO ",-13.98
08/03/2023,24427333214710014897918,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-8.48
08/03/2023,24116413214837000276884,"WINGSTOP 2127 LITTLETON CO","LITTLETON     CO ",-15.64
08/02/2023,24445003213300587510482,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-5.98
08/02/2023,24445003213100318994603,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-154.34
08/01/2023,24137463213001334315287,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-83.47
08/01/2023,24692163213105030917933,"CIRCLE K # 44099 ENGLEWOOD CO","ENGLEWOOD     CO ",-20.15
07/31/2023,21073400000847000027833,"BA ELECTRONIC PAYMENT","",1040.16
07/27/2023,24943003208898080880496,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-44.19
07/27/2023,74164073207091012369801,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",87.05
07/26/2023,24445003206100268336150,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-99.97
07/25/2023,24164073205091007438014,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-124.03
07/24/2023,24540453205002101019898,"LOLLI AND POPS-1114 PA 720-3168400 CO","720-3168400   CO ",-8.30
07/24/2023,24431063205091021000764,"LUSH PARK MEADOWS (452) LONE TREE CO","LONE TREE     CO ",-23.71
07/24/2023,24750763204900014000012,"ENMOTIVE EVENT REGISTRATIBUFFALO GROVEIL","BUFFALO GROVE IL ",-94.62
07/22/2023,24445003202300566427933,"KING SOOPERS # 0131 LITTLETON CO","LITTLETON     CO ",-45.18
07/21/2023,24733093202400670000485,"JERSEY MIKES 22014 ENGLEWOOD CO","ENGLEWOOD     CO ",-28.85
07/21/2023,24427333201710034762618,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-7.45
07/21/2023,24164073201091017657011,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-55.51
07/21/2023,24164073201091015739050,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-4.73
07/20/2023,24445003200300525174784,"KING SOOPERS # 0131 LITTLETON CO","LITTLETON     CO ",-19.96
07/19/2023,24445003199100282174032,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-149.38
07/17/2023,74537603196327651388208,"GOGOGOSPORT MANCHESTER","",-92.99
07/11/2023,19273400000847000103347,"BA ELECTRONIC PAYMENT","",2176.62
07/10/2023,24137463189100459056427,"TST* GRANGE HALL - MAIN BGREENWOOD VILCO","GREENWOOD VIL CO ",-9.77
07/10/2023,24692163189108473792656,"TST* Grange Hall - Menya Greenwood VilCO","Greenwood Vil CO ",-17.20
07/08/2023,24445003188100275954377,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-187.88
07/07/2023,24445003188000840680145,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.53
07/07/2023,24137463187500764553988,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-105.96
