Posted Date,Reference Number,Payee,Address,Amount
02/06/2023,24943003037898002044285,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-59.97
02/06/2023,74943003037898001228835,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",16.31
02/04/2023,24943003035898040778052,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-69.07
02/04/2023,24164073034091007605767,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-52.49
02/02/2023,24445003033400145183737,"WM SUPERCENTER #1252 HIGHLANDS RANCO","HIGHLANDS RAN CO ",-26.49
02/02/2023,24445003032100251948607,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-108.00
01/31/2023,24445003031000758913826,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-4.14
01/30/2023,24943003029898002052866,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-184.33
01/28/2023,24493983028191000685988,"TRADER JOE'S #303 QPS GREENWOOD VILCO","GREENWOOD VIL CO ",-47.59
01/27/2023,02773400000847000059904,"BA ELECTRONIC PAYMENT","",1863.53
01/27/2023,24943003027898020046827,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-43.14
01/26/2023,24013393025002796995893,"046 TORCHYS ARAPAHOE GREENWOOD VILCO","GREENWOOD VIL CO ",-17.48
01/25/2023,24137463025001523235807,"WHOLEFDS SGN 10273 CENTENNIAL CO","CENTENNIAL    CO ",-49.24
01/25/2023,24445003024300470258198,"KING SOOPERS #0047 CENTENNIAL CO","CENTENNIAL    CO ",-38.14
01/25/2023,24034543024002667981630,"7-ELEVEN 35622 ENGLEWOOD CO","ENGLEWOOD     CO ",-5.33
01/25/2023,24445003024100209088191,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-95.03
01/25/2023,24943003024838003129870,"TACO BELL 033850 GREENWOOD VILCO","GREENWOOD VIL CO ",-16.04
01/23/2023,24943003023898002052144,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-98.15
01/23/2023,24943003023898002311508,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-4.33
01/21/2023,24445003020300507407002,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-32.38
01/18/2023,24492153017743169084587,"SHARKNINJA 800-798-7398 MA","800-798-7398  MA ",-215.49
01/18/2023,24445003017100214658433,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-132.70
01/16/2023,24445003016000684961658,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-3.55
01/14/2023,24493983014191000518367,"TRADER JOE'S #303 QPS GREENWOOD VILCO","GREENWOOD VIL CO ",-67.25
01/13/2023,24943003013898070044488,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-55.19
01/13/2023,24164073012091017645684,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-48.23
01/11/2023,24943003011898002025565,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-91.21
01/11/2023,24445003010100211923480,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-140.86
01/10/2023,24445003009300457988055,"KING SOOPERS #0047 CENTENNIAL CO","CENTENNIAL    CO ",-52.48
01/10/2023,24692163009108652962938,"STARBUCKS STORE 60396 ENGLEWOOD CO","ENGLEWOOD     CO ",-16.61
01/09/2023,24055233009400005451285,"A&A TRADING POST ACE ENGLEWOOD CO","ENGLEWOOD     CO ",-30.58
01/09/2023,24137463009001372974464,"WHOLEFDS SGN 10273 CENTENNIAL CO","CENTENNIAL    CO ",-26.86
01/09/2023,24943003008898090049613,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-32.04
01/09/2023,24943003008898002055823,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-59.53
01/07/2023,24427333006710031077272,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-22.35
