Posted Date,Reference Number,Payee,Address,Amount
07/06/2023,                       ,"INTEREST CHARGED ON PURCHASES","",-17.30
07/05/2023,24445003185300517798227,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-84.55
07/05/2023,24445003185100283513010,"WENDY'S 8056 EDWARDS CO","EDWARDS       CO ",-23.91
07/04/2023,                       ,"LATE FEE FOR PAYMENT DUE","",-25.00
07/03/2023,24316053183548492448985,"SHELL OIL 57444284707 GYPSUM CO","GYPSUM        CO ",-22.57
07/03/2023,24445003182300545888993,"KING SOOPERS #0731 FUEL LITTLETON CO","LITTLETON     CO ",-34.61
07/03/2023,24445003182300545888811,"KING SOOPERS #0731 FUEL LITTLETON CO","LITTLETON     CO ",-11.97
06/30/2023,24445003180300541566306,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-93.79
06/28/2023,24943003179898030459321,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-58.55
06/28/2023,24943003179898002084966,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-112.35
06/28/2023,24164073178091017124953,"TARGET 00017764 LITTLETON CO","LITTLETON     CO ",-48.32
06/28/2023,24445003178100255240336,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-124.11
06/27/2023,24445003178000807267979,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.53
06/27/2023,24427333177710005048435,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-82.09
06/26/2023,24445003175100280411673,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-105.31
06/24/2023,24943003175898000039602,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-20.62
06/24/2023,24943003175898002086205,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-16.75
06/20/2023,24239003170900011112440,"CARTERS LAKE MARINA & RESCHATSWORTH GA","CHATSWORTH    GA ",-4.49
06/19/2023,24427333169720202086666,"INGLES MARKETS #409 ELLIJAY GA","ELLIJAY       GA ",-20.30
06/19/2023,24427333169720202085502,"INGLES MARKETS #409 ELLIJAY GA","ELLIJAY       GA ",-39.37
06/19/2023,24692163168101778388614,"WALMART.COM 800-966-6546 AR","800-966-6546  AR ",-311.38
06/17/2023,24427333167710036187717,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-3.89
06/16/2023,24801973167091533000086,"BROKEN TEE GOLF COURSE ENGLEWOOD CO","ENGLEWOOD     CO ",-10.00
06/16/2023,24733093167400675000046,"JERSEY MIKES 22014 ENGLEWOOD CO","ENGLEWOOD     CO ",-11.62
06/15/2023,24427333165710014416130,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-14.57
06/14/2023,24801973165091531000049,"BROKEN TEE GOLF COURSE ENGLEWOOD CO","ENGLEWOOD     CO ",-13.00
06/14/2023,24445003165000836919728,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-8.08
06/14/2023,24445003164100362528488,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-66.80
06/14/2023,24431053164838003862896,"MURPHY EXPRESS 8922 LITTLETON CO","LITTLETON     CO ",-22.59
06/13/2023,24445003163300505946289,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-22.67
06/13/2023,24013393163001360297100,"SAVORY SPICE SHOP LITTLETLITTLETON CO","LITTLETON     CO ",-19.67
06/10/2023,24445003161000897343135,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-29.47
06/08/2023,24431063159400379000357,"CHIPOTLE 0390 ENGLEWOOD CO","ENGLEWOOD     CO ",-10.75
06/08/2023,24455013158142000852627,"WAL-MART #2751 ENGLEWOOD CO","ENGLEWOOD     CO ",-1.37
06/08/2023,24427333158710014425858,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-11.54
06/07/2023,24137463158001391308925,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-61.19
06/07/2023,24445003158000835491884,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-8.08
06/07/2023,24445003158000835491967,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-10.00
06/07/2023,24445003157500386288275,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-126.23
