Posted Date,Reference Number,Payee,Address,Amount
06/06/2023,24943003157898002086520,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-23.93
06/05/2023,74164073155091012438392,"TARGET 00027169 LITTLETON CO","LITTLETON     CO ",7.63
06/05/2023,24164073155091007435721,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-48.93
06/05/2023,24137463155100834091685,"TST* JUNCTION BAR 2 DENVER CO","DENVER        CO ",-46.92
06/03/2023,24943003154838000653270,"DUNKIN #355169 Q35 ENGLEWOOD CO","ENGLEWOOD     CO ",-16.46
06/03/2023,24137463154001768184176,"WHOLEFDS SGN 10273 CENTENNIAL CO","CENTENNIAL    CO ",-49.61
06/02/2023,24137463153600185137583,"TST* PB PARK BURGER - PLADENVER CO","DENVER        CO ",-88.13
06/01/2023,24445003152000861148735,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-10.08
06/01/2023,24445003151100279123923,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-181.01
05/31/2023,24943003151898002032033,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-223.16
05/31/2023,74943003151898001221145,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",34.80
05/30/2023,15073400000847000074761,"BA ELECTRONIC PAYMENT","",1973.98
05/30/2023,24427333149710005027871,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-45.63
05/27/2023,24137463146100493486095,"OFFICE DEPOT #3238 GREENWOOD VILCO","GREENWOOD VIL CO ",-40.33
05/25/2023,24445003144300519328353,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-76.95
05/24/2023,14486000000504727020948,"CASH REWARDS STATEMENT CREDIT","",835.65
05/24/2023,24943003144898002031126,"COSTCO WHSE #0443 LITTLETON CO","LITTLETON     CO ",-280.86
05/24/2023,24000973143865301457083,"THE UPS STORE 0965 303-8505400 CO","303-8505400   CO ",-14.50
05/24/2023,24445003143100270165825,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-117.21
05/23/2023,24445003142300513726026,"KING SOOPERS #0709 FUEL ENGLEWOOD CO","ENGLEWOOD     CO ",-50.79
05/20/2023,24445003140000906483126,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-11.23
05/20/2023,24445003139500438209488,"FREDDY'S 11-0001 LITTLETON CO","LITTLETON     CO ",-12.19
05/19/2023,24943003139898002025653,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-102.16
05/19/2023,24427333138710003308789,"S&S #522 DENVER CO","DENVER        CO ",-43.06
05/18/2023,24137463138001406201623,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-27.25
05/18/2023,24137463137100497957183,"SALLY BEAUTY #0802 GREENWOOD VLGCO","GREENWOOD VLG CO ",-10.39
05/18/2023,24445003137100323314550,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-193.50
05/15/2023,24137463133501151562967,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-35.86
05/13/2023,24445003133000948499246,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-16.35
05/13/2023,24427333132710015904605,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-18.60
05/13/2023,24692163132106142079172,"LOWES #01630* 720-981-0100 CO","720-981-0100  CO ",-754.43
05/12/2023,24692163132105642492604,"MICHAELS STORES 1189 SHERIDAN CO","SHERIDAN      CO ",-14.91
05/12/2023,74445003130300801533380,"KING SOOPERS #5109 ENGLEWOOD CO","ENGLEWOOD     CO ",14.84
05/10/2023,24164073129091017625470,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-60.76
05/10/2023,24445003129100268967115,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-146.09
05/09/2023,24445003128300507879664,"KING SOOPERS #0709 FUEL ENGLEWOOD CO","ENGLEWOOD     CO ",-53.17
05/09/2023,24492163128000037630538,"SP RIDGE WALLET 065 HTTPSRIDGE.COCA","HTTPSRIDGE.CO CA ",-92.67
05/09/2023,24692163128102830865283,"RAISING CANES 0310 CENTENNIAL CO","CENTENNIAL    CO ",-31.38
