Posted Date,Reference Number,Payee,Address,Amount
03/06/2023,24427333064710035288098,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-19.14
03/04/2023,24733093062083715504429,"JERSEY MIKES ONLINE ORDE 732-223-4044 NJ","732-223-4044  NJ ",-21.61
03/02/2023,24943003061898002056189,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-139.77
03/02/2023,24943003061898002339601,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-9.20
03/01/2023,24445003059100230526647,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-184.37
02/28/2023,05973400000847000097624,"BA ELECTRONIC PAYMENT","",1598.56
02/28/2023,24943003059898000910977,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-7.00
02/28/2023,24164073058513010038919,"TODDS HARVARD 10012458 DENVER CO","DENVER        CO ",-3.85
02/27/2023,24427333057710034288361,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-8.49
02/25/2023,24692163055109113735221,"DEL TACO 787 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.74
02/24/2023,24943003055898060012734,"COSTCO GAS #0443 LITTLETON CO","LITTLETON     CO ",-64.19
02/24/2023,24943003055898002041478,"COSTCO WHSE #0443 LITTLETON CO","LITTLETON     CO ",-201.00
02/23/2023,24164073053091017206024,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-53.79
02/22/2023,24445003053000805423921,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-4.89
02/22/2023,24445003052100228384691,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-122.09
02/16/2023,24445003046100241547901,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-145.97
02/15/2023,24943003046898002011549,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-182.64
02/15/2023,24943003046898002313762,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-4.90
02/14/2023,24137463045001525693983,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-10.48
02/13/2023,24445003042300488733990,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-46.46
02/11/2023,24692163041109005274567,"DEL TACO 787 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.30
02/10/2023,24445003041000830362107,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-3.10
02/08/2023,24445003038100250844751,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-169.21
02/07/2023,24445003037300470212893,"KING SOOPERS #0047 CENTENNIAL CO","CENTENNIAL    CO ",-30.54
