Posted Date,Reference Number,Payee,Address,Amount
05/06/2023,24445003125300563390443,"KING SOOPERS #0047 CENTENNIAL CO","CENTENNIAL    CO ",-76.93
05/05/2023,24445003124300514898362,"KING SOOPERS # 0131 LITTLETON CO","LITTLETON     CO ",-30.43
05/05/2023,24717053124171243769109,"TLF*ARAPAHOE FLORAL 310-9968703 CO","310-9968703   CO ",-117.92
05/04/2023,24034543123000295165535,"CONOCO - SEI 33040 HIGHLANDS RANCO","HIGHLANDS RAN CO ",-20.00
05/03/2023,24427333122710015262188,"CHICK-FIL-A #02479 ENGLEWOOD CO","ENGLEWOOD     CO ",-11.67
05/03/2023,24445003122100297001008,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-123.12
05/03/2023,24137463122500751809896,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-8.56
05/02/2023,12273400000847000010240,"BA ELECTRONIC PAYMENT","",2648.39
05/01/2023,24692163121106752308336,"CIRCLE K # 44098 ENGLEWOOD CO","ENGLEWOOD     CO ",-41.01
05/01/2023,24943003120898002049837,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-92.91
05/01/2023,24427333119710038910057,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-31.51
04/29/2023,24692163118104633527682,"STARBUCKS STORE 60396 ENGLEWOOD CO","ENGLEWOOD     CO ",-12.78
04/28/2023,24445003118000843034782,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-15.18
04/28/2023,24269793117100372505366,"MODERN MARKET - 005 ENGLEWOOD CO","ENGLEWOOD     CO ",-29.49
04/27/2023,24943003117898002061571,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-102.97
04/27/2023,24427333116710014427749,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-11.54
04/26/2023,24445003116000817729807,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.46
04/26/2023,24943003116898002090951,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-97.93
04/26/2023,24164073115091007106552,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-9.74
04/26/2023,24445003115100256361269,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-127.00
04/24/2023,24275393113900019514902,"FLOYD'S 99 SOUTHGLENN 303-8309191 CO","303-8309191   CO ",-39.00
04/24/2023,24943003113898002023963,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-203.27
04/22/2023,24137463112001495322108,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-48.81
04/21/2023,24445003111000831848794,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-13.12
04/19/2023,24943003109898020196722,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-63.37
04/19/2023,24164073108091017657148,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-42.08
04/19/2023,24445003108100248670602,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-153.97
04/18/2023,24445003107300507955717,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-62.28
04/17/2023,24540453107001800959734,"TAGAWA GARDENS 303-6904722 CO","303-6904722   CO ",-51.17
04/17/2023,24427333106710035855789,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-21.41
04/17/2023,24692163106105113357460,"STARBUCKS STORE 60396 ENGLEWOOD CO","ENGLEWOOD     CO ",-12.37
04/15/2023,24445003104300558401093,"KING SOOPERS #0047 CENTENNIAL CO","CENTENNIAL    CO ",-71.87
04/15/2023,24427333104710015625600,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-16.71
04/13/2023,24943003103898002012083,"COSTCO WHSE #0443 LITTLETON CO","LITTLETON     CO ",-324.73
04/13/2023,74445003101300791945250,"KING SOOPERS #5109 ENGLEWOOD CO","ENGLEWOOD     CO ",10.29
04/13/2023,24692163102102016849812,"DEL TACO 787 ENGLEWOOD CO","ENGLEWOOD     CO ",-5.60
04/12/2023,24431063102400754000103,"CHIPOTLE 0970 LITTLETON CO","LITTLETON     CO ",-10.10
04/12/2023,24445003102000833772001,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-5.17
04/12/2023,24431053102838003418637,"MURPHY EXPRESS 8922 LITTLETON CO","LITTLETON     CO ",-37.48
04/12/2023,24445003101100261828563,"KING SOOPERS #5109 303-798-2521 CO","303-798-2521  CO ",-165.36
04/11/2023,24427333100710004011667,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-12.08
04/11/2023,24427333100710004011659,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-20.34
04/10/2023,24137463099001636695427,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-74.80
04/10/2023,24445003099000973918336,"DOLLAR TREE LITTLETON CO","LITTLETON     CO ",-2.70
