Posted Date,Reference Number,Payee,Address,Amount
10/04/2023,24445003276100278546934,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-128.34
10/03/2023,24943003276898002034229,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-179.93
09/30/2023,27273400000847000026814,"BA ELECTRONIC PAYMENT","",1492.45
09/30/2023,24445003272300566521151,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-74.24
09/29/2023,24943003272898100081340,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-65.16
09/29/2023,24427333271710035131974,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-13.65
09/29/2023,24164073271091017700097,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-30.35
09/27/2023,24137463270001287892522,"CVS/PHARMACY #05223 BOCA RATON FL","BOCA RATON    FL ",-8.52
09/27/2023,24455013269142000816404,"WAL-MART #2751 ENGLEWOOD CO","ENGLEWOOD     CO ",-61.37
09/27/2023,24000973269476102793896,"FLANIGANS 33 954-3771961 FL","954-3771961   FL ",-46.36
09/27/2023,24445003269100282652461,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-101.44
09/25/2023,24540453268015701674684,"SKY MARKET CENTER C 303-3429000 CO","303-3429000   CO ",-7.56
09/25/2023,24692163268106415122044,"CIRCLE K # 44098 ENGLEWOOD CO","ENGLEWOOD     CO ",-52.16
09/22/2023,24164073264091017291575,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-29.13
09/21/2023,24692163263102686383600,"STARBUCKS STORE 65149 GREENWOOD VILMO","GREENWOOD VIL MO ",-8.17
09/21/2023,24692163263102678635975,"TST* Grange Hall - Taste Greenwood VilCO","Greenwood Vil CO ",-14.12
09/21/2023,24137463263500731810476,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-94.15
09/20/2023,24445003262100287315772,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-132.39
09/16/2023,24692163258108812330727,"DEL TACO 787 ENGLEWOOD CO","ENGLEWOOD     CO ",-8.28
09/15/2023,24943003258898002036317,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-51.02
09/15/2023,24431053257838004502937,"MURPHY EXPRESS 8922 LITTLETON CO","LITTLETON     CO ",-5.39
09/13/2023,74445003254300764906946,"KING SOOPERS #5109 ENGLEWOOD CO","ENGLEWOOD     CO ",5.99
09/13/2023,24445003255300517514827,"KING SOOPERS # 0131 LITTLETON CO","LITTLETON     CO ",-37.80
09/13/2023,24445003255100272174878,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-217.40
09/12/2023,24943003255898090510820,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-39.92
09/12/2023,24943003255898002335910,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-2.17
09/11/2023,24137463253500799212898,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-29.29
09/09/2023,24427333251730270363888,"MCDONALD'S F11360 DENVER CO","DENVER        CO ",-21.55
