Posted Date,Reference Number,Payee,Address,Amount
09/06/2023,24943003249898002041657,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-214.57
09/06/2023,24445003248100252636573,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-133.92
09/04/2023,24801973247091017002206,"DENVER ZOO DENVER CO","DENVER        CO ",-6.00
09/04/2023,24445003246300536135812,"CMSVEND*CV DENVER DENVER CO","DENVER        CO ",-2.35
09/04/2023,24034553245000271678701,"KMC DENVER ZOO DENVER CO","DENVER        CO ",-8.63
09/04/2023,24034553245000271281464,"KMC DENVER ZOO DENVER CO","DENVER        CO ",-13.77
09/04/2023,24445003245300516085673,"KING SOOPERS # 0131 LITTLETON CO","LITTLETON     CO ",-3.29
09/04/2023,24034543245000203463108,"7-ELEVEN 35622 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.46
09/04/2023,24269793245100454730705,"MODERN MARKET - 003 GREENWOOD VILCO","GREENWOOD VIL CO ",-12.81
09/02/2023,24116413245400515000563,"TABLE PUBLIC HOUSE DENVER CO","DENVER        CO ",-127.44
09/02/2023,24692163244100402058484,"STARBUCKS STORE 00239 LITTLETON CO","LITTLETON     CO ",-10.73
09/02/2023,24137463244500869606849,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-12.32
09/01/2023,24164073243091017502522,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-15.03
09/01/2023,24164073243091017502498,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-62.17
08/31/2023,24373400000847000052394,"BA ELECTRONIC PAYMENT","",2378.90
08/31/2023,24943003243898020438410,"COSTCO GAS #1027 SHERIDAN CO","SHERIDAN      CO ",-60.88
08/30/2023,24733093242400678000687,"JERSEY MIKES 22014 ENGLEWOOD CO","ENGLEWOOD     CO ",-14.10
08/30/2023,24445003241100293030619,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-139.87
08/28/2023,24540453239213201019064,"THE 1UP COLFAX 303-7796444 CO","303-7796444   CO ",-37.00
08/28/2023,24034543239003019297080,"CONOCO - SEI 35511 DENVER CO","DENVER        CO ",-18.15
08/28/2023,24037243239900013300436,"VIEWHOUSE (MARKET ST) DENVER CO","DENVER        CO ",-58.28
08/28/2023,24034543239002998407686,"7-ELEVEN 35365 DENVER CO","DENVER        CO ",-10.59
08/28/2023,24000973239325406758005,"WARWICK DENVER HOTEL F 303-8612000 CO","303-8612000   CO ",-83.69
08/28/2023,24943003239898002018103,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-172.06
08/24/2023,24692163235103397300425,"DEL TACO 787 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.33
08/24/2023,24137463235500757169497,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-108.94
08/23/2023,24445003234100261627676,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-34.58
08/23/2023,24445003234100261627593,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-118.63
08/21/2023,24943013232010194254852,"THE HOME DEPOT #1519 LITTLETON CO","LITTLETON     CO ",-25.92
08/21/2023,24164073232091017654912,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-62.55
08/21/2023,24137463231100523093651,"TST* PINDUSTRY GREENWOOD VILCO","GREENWOOD VIL CO ",-97.02
08/19/2023,24733093231400679000069,"JERSEY MIKES 22014 ENGLEWOOD CO","ENGLEWOOD     CO ",-21.61
08/19/2023,24427333230710015271279,"CHICK-FIL-A #02284 SHERIDAN CO","SHERIDAN      CO ",-42.53
08/17/2023,24431063229400751000203,"CHIPOTLE 0970 LITTLETON CO","LITTLETON     CO ",-11.99
08/17/2023,24445003229000804409284,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-8.08
08/17/2023,24445003228300534231060,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-100.39
08/16/2023,24943003228898002095781,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-107.87
08/16/2023,24034543227001632003996,"7-ELEVEN 38947 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.25
08/16/2023,24445003227100274864398,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-101.73
08/16/2023,24941663227838000563475,"S&S #518 GREENWOOD VILCO","GREENWOOD VIL CO ",-49.34
08/14/2023,24247603225000928831729,"BIRDCALL DENVER CO","DENVER        CO ",-32.67
08/12/2023,24269793223100367959868,"MODERN MARKET - 003 GREENWOOD VILCO","GREENWOOD VIL CO ",-12.81
08/10/2023,24164073221091007953376,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-41.57
08/10/2023,24164073221091015776249,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-6.85
08/09/2023,24445003220100271495326,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-159.61
08/07/2023,24445003217300515052504,"KING SOOPERS #0709 FUEL ENGLEWOOD CO","ENGLEWOOD     CO ",-60.83
