Posted Date,Reference Number,Payee,Address,Amount
10/28/2023,24445003300300568906166,"KING SOOPERS #0109 ENGLEWOOD CO","ENGLEWOOD     CO ",-21.65
10/28/2023,24034543300003085261907,"7-ELEVEN 35622 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.27
10/28/2023,24692163300100078324245,"SQ *TROMPEAU BAKERY Englewood CO","Englewood     CO ",-26.71
10/26/2023,24427333298710033493714,"SPROUTS FARMERS MAR ENGLEWOOD CO","ENGLEWOOD     CO ",-19.00
10/25/2023,24445003297100277702798,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-148.96
10/24/2023,24445003296300512995733,"KING SOOPERS #0709 FUEL ENGLEWOOD CO","ENGLEWOOD     CO ",-50.96
10/23/2023,24445003296000761075498,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-20.01
10/23/2023,24692163296109455494519,"CIRCLE K # 44099 ENGLEWOOD CO","ENGLEWOOD     CO ",-44.07
10/23/2023,24692163294108537549003,"LOWES #02419* LITTLETON CO","LITTLETON     CO ",-8.46
10/21/2023,24431053293838004803919,"MURPHY EXPRESS 8922 LITTLETON CO","LITTLETON     CO ",-10.15
10/20/2023,24164073292091017755336,"TARGET 00022616 SHERIDAN CO","SHERIDAN      CO ",-23.37
10/19/2023,24445003292000821793001,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-7.78
10/18/2023,24445003290100279297356,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-127.05
10/17/2023,24943003290898002087757,"COSTCO WHSE #1027 SHERIDAN CO","SHERIDAN      CO ",-145.25
10/16/2023,24137463288500775237561,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-52.13
10/14/2023,24137463286500913787081,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-70.63
10/13/2023,24445003286000826127971,"WALGREENS #12423 ENGLEWOOD CO","ENGLEWOOD     CO ",-29.38
10/11/2023,24445003284400164498418,"WM SUPERCENTER #2751 ENGLEWOOD CO","ENGLEWOOD     CO ",-32.13
10/11/2023,24445003283100295440450,"KING SOOPERS #5109 866-576-4377 CO","866-576-4377  CO ",-162.97
10/07/2023,24137463279500853306818,"TRADER JOE S #303 GREENWOOD VILCO","GREENWOOD VIL CO ",-86.62
